,X,MolecularWeight,XLogP,HydrogenBondDonorCount,HydrogenBondAcceptorCount,PolarSurfaceArea,FormalCharge,NumRings,RotatableBondCount,Refractivity,XLogP.1,Ro5,Ghose,Veber,Blood,Skin,Brain,Testis,AdiposeTissue,Muscle,Nerve,BloodVessel,Heart,Lung,Esophagus,Kidney,Thyroid,Pituitary,Uterus,Pancreas,Vagina,Stomach,AdrenalGland,Colon,Prostate,Spleen,Liver,FallopianTube,Ovary,Breast,Bladder,CervixUteri,SmallIntestine,SalivaryGland,lossFreq,maxBtwn,maxDegree,nTargets,wQED,response,PC1,PC2,PC3
45,Rivastigmine,250.168128,2.409093134,0,2,32.78,0,1,5,73.3706,2.04,0,0,0,0.7322712541,1.068140745,10,3.61620748,0.6147767305,7.819921017,0.3894087821,0.3331284821,0.7355736494,3.62605238,5.883807182,1.865379155,0.7660108805,5.354573965,6.599007607,1.134945989,1.764389098,0.5040095448,0.6868275106,4.312083483,4.219288111,2.052807093,10,10,2.201324463,1.124231815,1.970343351,6.333235741,4.156428337,3.473966599,0.5654450262,51784.02287,20,2,0.196,0,-1.537521723,-0.1486934663,-1.866632213
46,Domperidone,425.1618527,2.900103093,2,3,67.92,0,5,5,119.3737,0.0925,0,0,1,0.00785051845,0.06757393107,0.828758955,0.7745693028,0.09295985103,0.1206481457,1.243043959,0.05630701408,0.01744899713,0.03626394644,0.1077753305,0.04595601372,0.02329044696,10,0.3046805263,0.04300544411,0.2581252381,0.03861976415,0.05678276159,0.1011151411,0.390641883,0.01315964153,0.005366500234,0.2499224022,0.07627490908,0.6882403791,0.08549594134,0.1916752309,0.1110942364,6.041281223,0.3942307692,39011.46581,40,2,0.548,1,-5.063922806,-0.3044089438,-0.8726343585
47,Sorafenib,464.0863027,4.343329761,3,3,92.35,0,3,6,114.5183,0.00171,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5285714286,251309.1545,246,10,0.487,1,7.460322745,-0.7059190306,-0.5662501631
48,Hydroxychloroquine,335.1764402,2.886971175,2,4,48.39,0,2,9,97.9667,0.0261,0,0,1,0.7260088921,0.01122795185,0.3163640201,0.0761083141,0.2268192172,0.01552834082,0.2514206544,0.1610871106,0.03400521725,0.3877562284,0.082074292,0.05301588587,0.08470312133,0.09008429199,0.06297750026,0.05557636917,0.08172012493,0.08526657522,0.1932523772,0.1971744522,0.2098894119,1.017304301,0.03143424541,0.07785715908,0.06174813583,0.1842856482,0.1942263246,0.06591527164,0.4796018302,0.2279781997,0.3412698413,0,2,1,0.27,0,-5.783400766,-0.1073810366,0.08060267637
49,Varenicline,211.1109474,1.007627996,1,3,37.81,0,4,0,61.303,0.0877,0,0,0,0.08133739233,0.08155438676,2.188047647,2.011312246,0.2641097605,0.09608890116,0.4481257498,0.2534208298,0.2231176496,0.3793887496,0.1969618946,1.291790813,1.455012619,1.558007956,0.3025893569,0.6972179413,0.3538768291,1.330839872,0.179359749,1.778811634,0.7477153242,0.8092255294,10,0.2708093524,0.814338088,0.3247045577,0.7565066218,0.4064501524,1.26131618,0.2746070921,0.5344827586,24492.45266,12,4,0.285,0,-4.748368268,-0.385460652,-0.8515306893
50,Minocycline,457.1849002,-3.334191589,5,9,164.63,0,4,3,122.5402,3.07,0,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.4893617021,348521.3792,624,6,0.608,0,7.460322745,-0.7059190306,-0.5662501631
51,Indomethacin,357.0767857,3.52967438,1,4,68.53,0,3,4,94.8106,0.0024,0,0,1,8.444705963,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.55,75952.25624,146,6,0.407,0,7.397529434,-0.5716162718,-0.6347496847
52,Gemcitabine,263.0717623,-1.466539628,3,6,108.38,0,2,2,53.2503,22.3,0,1,1,8.973579407,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5365853659,17112.18091,578,3,0.3,1,7.418882126,-0.6172855541,-0.6114566115
53,Capecitabine,359.1492637,0.768036047,3,6,120.69,0,2,7,82.746,0.248,0,0,1,4.467746258,10,3.355834007,10,2.423253298,0.4956072569,2.554561973,2.701006889,1.443772435,4.940268517,4.988646984,6.843852758,4.103782654,3.765854359,2.751442552,3.056950331,6.516115427,3.616623163,4.0807724,10,5.004799843,10,2.107688427,2.244574368,3.067645073,4.033158541,3.341159821,3.672201633,9.63755703,7.718729019,0.5365853659,0,2,1,0.371,1,0.4523100598,-1.85472788,1.085998566
54,Vorinostat,264.1473925,2.003969249,3,3,78.43,0,1,8,73.8051,0.0716,0,0,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.5714285714,1493585.622,1954,5,0.619,1,7.460322745,-0.7059190306,-0.5662501631
55,Nilotinib,529.183793,4.4077,2,6,97.62,0,5,7,152.8501,0.00201,1,1,1,2.627729893,10,10,10,10,9.213248253,10,10,10,10,10,10,10,10,10,8.928268433,10,10,10,10,10,10,5.700903177,10,10,10,10,10,10,10,0.4040697674,1016222.47,518,2,0.678,0,6.922312451,-0.04137173579,-0.5724151746
